date;category;value
01.12.2020;Всего;4646.23
01.12.2020;Непродовольственные товары;1854.81
01.12.2020;Общественное питание;147.28
01.12.2020;Продовольственные товары;1746.85
01.12.2020;Услуги;897.3
01.11.2020;Всего;3976.77
01.11.2020;Непродовольственные товары;1588.01
01.11.2020;Общественное питание;135.69
01.11.2020;Продовольственные товары;1433.11
01.11.2020;Услуги;819.95
01.10.2020;Всего;4010.42
01.10.2020;Непродовольственные товары;1606.02
01.10.2020;Общественное питание;145.22
01.10.2020;Продовольственные товары;1432.68
01.10.2020;Услуги;826.51
01.09.2020;Всего;3935.07
01.09.2020;Непродовольственные товары;1574.09
01.09.2020;Общественное питание;146.7
01.09.2020;Продовольственные товары;1379.12
01.09.2020;Услуги;835.16
01.08.2020;Всего;3941.49
01.08.2020;Непродовольственные товары;1609
01.08.2020;Общественное питание;131.67
01.08.2020;Продовольственные товары;1392.32
01.08.2020;Услуги;808.5
01.07.2020;Всего;3752.63
01.07.2020;Непродовольственные товары;1511.63
01.07.2020;Общественное питание;112.14
01.07.2020;Продовольственные товары;1394.38
01.07.2020;Услуги;734.48
01.06.2020;Всего;3389.56
01.06.2020;Непродовольственные товары;1340.05
01.06.2020;Общественное питание;82.32
01.06.2020;Продовольственные товары;1331.57
01.06.2020;Услуги;635.62
01.05.2020;Всего;2927.02
01.05.2020;Непродовольственные товары;1041.55
01.05.2020;Общественное питание;66.99
01.05.2020;Продовольственные товары;1265.47
01.05.2020;Услуги;553
01.04.2020;Всего;2774.97
01.04.2020;Непродовольственные товары;914.98
01.04.2020;Общественное питание;66.15
01.04.2020;Продовольственные товары;1229.44
01.04.2020;Услуги;564.41
01.03.2020;Всего;3937.55
01.03.2020;Непродовольственные товары;1522.43
01.03.2020;Общественное питание;132.99
01.03.2020;Продовольственные товары;1430.71
01.03.2020;Услуги;851.42
01.02.2020;Всего;3652.72
01.02.2020;Непродовольственные товары;1356.53
01.02.2020;Общественное питание;138.34
01.02.2020;Продовольственные товары;1276.4
01.02.2020;Услуги;881.44
01.01.2020;Всего;3670.85
01.01.2020;Непродовольственные товары;1367.38
01.01.2020;Общественное питание;141.93
01.01.2020;Продовольственные товары;1275.12
01.01.2020;Услуги;886.42
01.12.2019;Всего;4608.66
01.12.2019;Непродовольственные товары;1800
01.12.2019;Общественное питание;184.06
01.12.2019;Продовольственные товары;1672.93
01.12.2019;Услуги;951.67
01.11.2019;Всего;3989.87
01.11.2019;Непродовольственные товары;1542.42
01.11.2019;Общественное питание;160.26
01.11.2019;Продовольственные товары;1390.12
01.11.2019;Услуги;897.06
01.10.2019;Всего;3962.59
01.10.2019;Непродовольственные товары;1530.86
01.10.2019;Общественное питание;165.49
01.10.2019;Продовольственные товары;1373.71
01.10.2019;Услуги;892.54
01.09.2019;Всего;3909.61
01.09.2019;Непродовольственные товары;1514.31
01.09.2019;Общественное питание;166.99
01.09.2019;Продовольственные товары;1341.89
01.09.2019;Услуги;886.42
01.08.2019;Всего;3954.66
01.08.2019;Непродовольственные товары;1540.48
01.08.2019;Общественное питание;156.92
01.08.2019;Продовольственные товары;1356.97
01.08.2019;Услуги;900.29
01.07.2019;Всего;3850.89
01.07.2019;Непродовольственные товары;1468.44
01.07.2019;Общественное питание;151.51
01.07.2019;Продовольственные товары;1338.59
01.07.2019;Услуги;892.35
01.06.2019;Всего;3764.54
01.06.2019;Непродовольственные товары;1424.2
01.06.2019;Общественное питание;149.29
01.06.2019;Продовольственные товары;1316.86
01.06.2019;Услуги;874.2
01.05.2019;Всего;3708.02
01.05.2019;Непродовольственные товары;1383.87
01.05.2019;Общественное питание;145.4
01.05.2019;Продовольственные товары;1319.29
01.05.2019;Услуги;859.46
01.04.2019;Всего;3664.45
01.04.2019;Непродовольственные товары;1368.53
01.04.2019;Общественное питание;141.66
01.04.2019;Продовольственные товары;1288.4
01.04.2019;Услуги;865.86
01.03.2019;Всего;3689.41
01.03.2019;Непродовольственные товары;1379.37
01.03.2019;Общественное питание;138.54
01.03.2019;Продовольственные товары;1311.02
01.03.2019;Услуги;860.49
01.02.2019;Всего;3411.93
01.02.2019;Непродовольственные товары;1259.41
01.02.2019;Общественное питание;130.14
01.02.2019;Продовольственные товары;1195.18
01.02.2019;Услуги;827.21
01.01.2019;Всего;3470.37
01.01.2019;Непродовольственные товары;1291.65
01.01.2019;Общественное питание;134.81
01.01.2019;Продовольственные товары;1215.82
01.01.2019;Услуги;828.09
01.12.2018;Всего;4372.54
01.12.2018;Непродовольственные товары;1719.39
01.12.2018;Общественное питание;169.78
01.12.2018;Продовольственные товары;1592.16
01.12.2018;Услуги;891.21
